No|             BAT_NAME|      RA|     DEC|     SNR|              COUNTERPART_NAME|                     OTHER_NAME| CTPT_RA|CTPT_DEC|    FLUX| FLUX_LO| FLUX_HI|CONTA|  GAMMA|GAMM_LO|GAMM_HI|  CHI_SQ_R|REDSHIFT|       LUM|ASSOC_STREN|   CL2|                 TYPE
#    |                     |     deg|     deg|        |                              |                               |     deg|     deg|10^-12er|10^-12er|10^-12er|     |       |       |       |          |        |log[erg/s]|      |           |
1733|   SWIFT J0939.9-2523|144.9753|-25.3759|    4.89|                          None|                               |      NA|      NA|   10.49|    7.08|   14.32|  |   1.61|   1.16|   2.07|      1.47|      NA|  NA |  6        |          0|Unknown
1734|   SWIFT J0944.6-2636|146.1608|-26.6006|    5.26|       2MASX J09443702-2633554|                               |146.1542|-26.5654|    7.09|    4.32|   10.59|  |   2.44|   1.76|   3.44|      1.09|  0.1425|     44.60|  1        |          4|Sy1
1735|   SWIFT J0949.0+0024|147.2383|  0.4057|    7.02|             3FGL J0948.8+0021|                               |147.2388|  0.3738|   19.51|   15.29|   23.96|  |   1.11|   0.79|   1.43|      1.33|  0.5838|     46.45|  0        |          4|Sy1
1736|   SWIFT J0954.3-3417|148.5779|-34.2853|    5.15|                          None|                               |      NA|      NA|    9.12|    5.90|   12.89|  |   1.94|   1.41|   2.57|      0.74|      NA|  NA |  7        |          0|Unknown
1737|   SWIFT J0957.5-1352|149.3660|-13.8603|    5.53|         ICRF J095718.1-135001|                               |149.3258|-13.8337|    9.57|    6.04|   13.61|  |   1.98|   1.41|   2.72|      0.92|  1.3230|     47.01|  4        |          7|FSRQ
1738|   SWIFT J0958.6-0050|149.6432| -0.8338|    5.04|                          None|                               |      NA|      NA|   10.77|    7.26|   14.73|  |   1.66|   1.19|   2.18|      0.47|      NA|  NA |  7        |          0|Unknown
1739|   SWIFT J1002.7-0028|150.6822| -0.4616|    4.93|             2dFGRS TGN286Z100|                               |150.7296| -0.4139|    8.98|    6.15|   12.14|  |   2.12|   1.69|   2.65|      0.69|  0.1227|     44.56|  0        |          4|Sy1
1740|   SWIFT J1008.0+3727|151.9911| 37.4514|    4.13|       2MASX J10081910+3729039|                               |152.0796| 37.4843|    5.58|    3.25|    8.40|  |   2.17|   1.54|   3.02|      0.35|  0.0524|     43.57|  1        |          4|Sy1
1741|   SWIFT J1010.0-5655|152.5038|-56.9123|    5.73|               IGR J10101-5654|                               |152.5495|-56.9256|    9.80|    7.06|   12.86|  |   1.98|   1.58|   2.44|      1.57|      NA|        NA|  1        |         13|HMXB
1742|   SWIFT J1012.9-2645|153.2256|-26.7438|    6.07|       2MASX J10124822-2644309|                               |153.2009|-26.7420|   12.22|    8.70|   16.12|  |   1.73|   1.32|   2.17|      0.83|  0.0445|     43.77|  4        |          4|Sy1
